generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
0,0.6735759407880908,0.033271908278429414,0.01715038281164824,0.007381453416787326,0.004638958459681002,0.0006847424499837604,100.0,0.0,63.0,2.9154759474226504,1.15,0.3570714214271425,4.25,0.6224949798994366,0
1,0.7091225739431216,0.05766312928624306,0.04134310584677914,0.014911616443176583,0.003158386600589161,0.000671509913303038,100.0,0.0,63.8,1.9899748742132402,1.0,0.0,4.35,0.6538348415311012,0
2,0.23028676420594268,0.058383112239516914,0.17148200990109946,0.01687983133459146,0.001952266543712872,0.0010842196546933258,100.0,0.0,63.75,2.947456530637899,1.05,0.2179449471770337,4.05,0.4974937185533099,0
