generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
22,0.5343906194381579,0.15110656354509347,0.10787913140748824,0.02930141718626519,0.000850917797435851,0.00038146244021673584,100.0,0.0,64.3,3.287856444554719,1.0,0.0,4.1,0.7000000000000001,0
23,0.5138248271377727,0.16017407803897812,0.11167941817293639,0.03146075448074257,0.0008927215442028931,0.0004475883051321536,100.0,0.0,63.6,3.32264954516723,1.1,0.3,4.4,0.7999999999999999,0
24,0.4923612333326881,0.16127541097229656,0.11575257650436695,0.03267783603649588,0.0009778719124681058,0.0005434815646526137,100.0,0.0,62.1,2.022374841615669,1.1,0.3,4.35,0.8529361054615991,0
25,0.4778067326581941,0.15755626053839233,0.11862712203633514,0.0321175153139786,0.0009964569807081292,0.0005951521337146179,100.0,0.0,63.9,2.5475478405713994,1.05,0.21794494717703372,4.15,0.7262919523166976,0
26,0.4720452044109096,0.16220061027026622,0.11968059476506676,0.03396710858467397,0.0009793667224190874,0.0005585106929246209,100.0,0.0,64.15,2.4550967394381837,1.0,0.0,4.05,0.5894913061275798,0
27,0.4626117904707045,0.16200137969815184,0.12139699434530563,0.03347635964317363,0.000991248046395661,0.0004538480616371897,100.0,0.0,63.0,1.8973665961010275,1.0,0.0,4.25,0.7664854858377946,0
28,0.44622954828934114,0.15607312444808674,0.12404406644726709,0.0316926110941628,0.0010397173135747917,0.0005189469175194099,100.0,0.0,63.45,3.0573681492420897,1.075,0.23848480035423641,4.05,0.49749371855331,0
29,0.43138648341741687,0.1521352993675621,0.1266557092033249,0.03065851825030826,0.0010300432526875259,0.00045172421693123917,100.0,0.0,63.55,3.169779172119093,1.0,0.0,4.4,0.7999999999999999,0
30,0.4140501409301566,0.14910684274054747,0.12978197610473408,0.02955493612485394,0.0011449797138279683,0.0004350294986756496,100.0,0.0,63.85,2.7069355367278325,1.05,0.21794494717703372,4.3,0.6403124237432849,0
31,0.4009478499244918,0.15462639048950225,0.13277150797685242,0.030575408691909053,0.0010740907706256113,0.000518957036770615,100.0,0.0,63.25,3.5899164335677787,1.05,0.15,4.1,0.8306623862918074,0
32,0.38815896145714357,0.15272672496756434,0.13546144006433636,0.03112271200815785,0.0011694750581069423,0.0005856413671427705,100.0,0.0,62.8,2.6381811916545836,1.05,0.21794494717703372,4.05,0.5894913061275798,0
33,0.37910385977179084,0.14725927577450365,0.13728244044201587,0.031030090361741012,0.0013288018098315817,0.0006975957657267844,100.0,0.0,63.9,3.8327535793473597,1.0,0.0,4.1,0.8888194417315588,0
34,0.3833088964701583,0.1441287247471751,0.13670970151841771,0.03183811823697451,0.0013285180901634007,0.0006628803316394533,100.0,0.0,62.85,3.4536212878658255,1.075,0.23848480035423641,4.35,0.7262919523166975,0
