generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
0,0.6735759407880908,0.03327190827842942,0.01715038281164792,0.007381453416786886,0.004638958459681004,0.0006847424499837604,100.0,0.0,63.0,2.9154759474226504,1.15,0.3570714214271425,4.25,0.6224949798994366,0
1,0.7414465696780055,0.03709179923453677,0.019925151094326986,0.008535753559055954,0.003236468842949862,0.0005994420787682594,100.0,0.0,63.8,1.9899748742132402,1.0,0.0,4.35,0.6538348415311012,0
2,0.7561403859336614,0.04609316278644555,0.03665910009880767,0.010499180474474488,0.0025611989637111397,0.0005380397216100839,100.0,0.0,63.75,2.947456530637899,1.05,0.2179449471770337,4.05,0.4974937185533099,0
3,0.6522391345938583,0.060581011159132295,0.07763947442119182,0.012039979475172683,0.0018347454736575384,0.0005777589607290776,100.0,0.0,62.2,3.1080540535840107,1.125,0.3112474899497183,4.2,0.6782329983125269,0
4,0.3662159373443604,0.08709163401426535,0.1413567970235634,0.01730507118595654,0.001481428704581323,0.0006308268308407451,100.0,0.0,63.1,2.3853720883753127,1.05,0.21794494717703372,4.2,0.9797958971132711,0
5,0.13891574052936423,0.06602295178906381,0.2023883472856828,0.019743910079982486,0.0008377455567345999,0.0007194384599915173,100.0,0.0,63.6,2.8530685235374214,1.05,0.21794494717703372,4.55,0.9733961166965892,0
6,0.1016330649176004,0.07226937510490582,0.22288189040794226,0.030350683668701358,0.00015590198045009214,0.00022047869515334545,100.0,0.0,66.0,1.632993161855452,1.0,0.0,4.333333333333333,0.4714045207910317,17
